Dni_od_zakupu,Marka,Ocena
6,Beko,1.5
3,Beko,2.5
5,Beko,2.0
9,Beko,2.0
8,Beko,3.5
11,Beko,1.5
2,Beko,1.5
5,Beko,3.5
13,Beko,2.0
5,Beko,2.0
7,Beko,2.5
8,Beko,0.5
4,Beko,2.0
6,Beko,2.0
14,Beko,2.0
6,Beko,2.5
5,Beko,4.5
9,Beko,1.5
8,Beko,2.0
2,Beko,1.0
10,Beko,2.0
9,Beko,2.0
6,Beko,3.0
9,Beko,2.0
8,Beko,1.5
5,Beko,2.0
5,Beko,3.0
10,Beko,2.5
8,Beko,4.5
9,Beko,1.5
9,Beko,3.5
6,Beko,3.0
4,Beko,1.5
6,Beko,4.5
8,Beko,3.5
4,Beko,4.0
10,Beko,2.0
5,Beko,2.0
4,Beko,5.0
4,Beko,0.5
10,Beko,1.5
3,Beko,3.5
8,Beko,0.5
10,Beko,1.0
5,Beko,2.0
13,Beko,2.0
10,Beko,3.0
7,Beko,3.5
10,Beko,4.0
4,Beko,2.0
4,Beko,1.0
5,Beko,2.0
13,Beko,3.0
10,Beko,2.0
11,Beko,4.0
5,Beko,1.5
12,Beko,2.5
4,Beko,3.0
5,Beko,3.0
10,Beko,3.5
4,Beko,3.5
7,Beko,3.0
7,Beko,2.0
5,Beko,4.0
7,Beko,1.5
4,Beko,4.5
9,Beko,2.0
7,Beko,2.0
8,Beko,2.0
7,Beko,1.5
7,Beko,4.5
6,Beko,2.5
7,Beko,1.0
8,Beko,1.5
6,Beko,1.0
9,Beko,1.5
8,Beko,2.0
9,Beko,1.5
4,Beko,2.5
3,Beko,1.0
3,Beko,2.0
6,Beko,4.0
9,Beko,4.0
11,Beko,3.0
2,Beko,5.0
7,Beko,3.0
5,Beko,4.5
8,Beko,3.0
7,Beko,4.0
8,Beko,3.5
6,Beko,1.5
9,Beko,2.0
7,Beko,2.0
10,Beko,1.5
5,Beko,4.0
6,Beko,3.0
5,Beko,5.0
13,Beko,3.5
14,Beko,2.5
8,Beko,3.5
11,Beko,2.5
4,Beko,2.5
9,Beko,0.5
7,Beko,2.5
4,Beko,2.5
6,Beko,3.0
7,Beko,3.0
10,Beko,3.5
8,Beko,2.0
8,Beko,4.0
3,Beko,1.5
11,Beko,1.0
8,Beko,4.0
4,Beko,2.0
8,Beko,2.0
5,Beko,2.0
7,Beko,2.0
8,Beko,1.0
4,Beko,1.5
6,Beko,5.0
5,Beko,3.5
9,Beko,2.0
4,Beko,1.0
4,Beko,2.5
9,Beko,1.0
8,Beko,1.5
5,Beko,4.0
7,Beko,1.5
8,Beko,3.0
10,Beko,2.5
9,Beko,3.5
11,Beko,3.5
7,Beko,1.0
9,Beko,3.0
13,Beko,1.5
10,Beko,1.5
11,Beko,2.5
9,Beko,2.0
9,Beko,2.5
7,Beko,2.5
4,Beko,1.0
5,Beko,4.0
12,Beko,4.0
7,Beko,2.5
4,Beko,1.0
7,Beko,3.5
9,Beko,3.0
10,Beko,3.0
6,Beko,2.0
2,Beko,3.5
12,Beko,2.5
8,Beko,1.0
7,Beko,3.0
2,Beko,3.5
7,Beko,3.5
5,Beko,2.0
7,Beko,2.0
9,Beko,3.5
6,Beko,3.5
10,Beko,4.5
5,Beko,2.5
3,Beko,2.5
11,Beko,0.5
6,Beko,3.5
10,Beko,0.5
4,Beko,1.0
11,Beko,3.0
8,Beko,2.0
7,Beko,0.5
15,Beko,5.0
8,Beko,1.5
6,Beko,1.0
15,Beko,1.0
6,Beko,2.5
6,Beko,4.0
5,Beko,2.5
8,Beko,2.5
9,Beko,2.0
11,Beko,1.0
